index;p_err;d_err;i_err;rb_speed;U_control;angle
289;-0,5490696;0,3673391;-3,997622;45,34496;-1,700416;-0,0283
290;-0,547567;0,3605455;-4,00675;45,46564;-1,733962;-0,0289
291;-0,546093;0,3536948;-4,015853;45,58614;-1,767867;-0,0295
292;-0,5446478;0,3467725;-4,024932;45,70646;-1,802203;-0,03
293;-0,5432318;0,3397787;-4,033988;45,8266;-1,83697;-0,0306
294;-0,5418451;0,3327419;-4,043021;45,94656;-1,872028;-0,0312
295;-0,5404881;0,3256051;-4,052031;46,06635;-1,907661;-0,0318
296;-0,539161;0,318454;-4,061018;46,18597;-1,943445;-0,0324
297;-0,537864;0,3112028;-4,069984;46,3054;-1,979807;-0,033
298;-0,5365975;0,3039086;-4,078929;46,42466;-2,016464;-0,0336
299;-0,5353616;0,2965429;-4,087854;46,54374;-2,053558;-0,0342
300;-0,5341568;0,2891058;-4,096758;46,66265;-2,091091;-0,0349
301;-0,5329831;0,2816257;-4,105643;46,78138;-2,128922;-0,0355
302;-0,531841;0,2740598;-4,114509;46,89993;-2,167265;-0,0361
303;-0,5307305;0,2664653;-4,123356;47,01831;-2,205837;-0,0368
304;-0,5296521;0,2587564;-4,132185;47,13652;-2,245064;-0,0374
305;-0,5286059;0,2510332;-4,140997;47,25455;-2,284452;-0,0381
306;-0,5275923;0,2432241;-4,149792;47,37241;-2,324355;-0,0387
307;-0,5266114;0,2353579;-4,158571;47,49009;-2,364634;-0,0394
308;-0,5256637;0,2274202;-4,167334;47,6076;-2,40536;-0,0401
309;-0,5247492;0,2194395;-4,176081;47,72494;-2,446391;-0,0408
310;-0,5238683;0,2113587;-4,184814;47,84211;-2,488015;-0,0415
311;-0,5231053;0,1830832;-4,193534;47,95906;-2,630354;-0,0438
312;-0,5224132;0,1660778;-4,202243;48,07586;-2,716887;-0,0453
313;-0,5217193;0,1665068;-4,21094;48,19252;-2,716761;-0,0453
314;-0,5209561;0,1831261;-4,219624;48,30901;-2,635955;-0,0439
315;-0,5200666;0,2134326;-4,228293;48,4253;-2,486738;-0,0415
316;-0,5190064;0,2543942;-4,236945;48,54137;-2,284044;-0,0381
317;-0,5177439;0,3029504;-4,245576;48,6572;-2,042989;-0,0341
318;-0,5162603;0,3559831;-4,254182;48,77282;-1,77901;-0,0297
319;-0,5146022;0,3978601;-4,26276;48,88828;-1,569939;-0,0262
320;-0,512791;0,4346026;-4,271308;49,00359;-1,385913;-0,0231
321;-0,5108393;0,4683273;-4,279824;49,11876;-1,216449;-0,0203
322;-0,5087568;0,4997065;-4,288305;49,23378;-1,058233;-0,0176
323;-0,5065514;0,5291834;-4,29675;49,34865;-0,9090852;-0,0152
324;-0,50423;0,5570299;-4,305155;49,46337;-0,7676744;-0,0128
325;-0,5017977;0,5836178;-4,31352;49,57792;-0,6321675;-0,0105
326;-0,4992594;0,6090829;-4,321843;49,69231;-0,5019023;-0,0084
327;-0,4966184;0,6337043;-4,330122;49,80655;-0,3755023;-0,0063
328;-0,493878;0,6575605;-4,338355;49,92062;-0,2525856;-0,0042
329;-0,4910407;0,6808231;-4,346541;50,03452;-0,1323057;-0,0022
330;-0,4881082;0,7036638;-4,354678;50,14827;-0,0138143;-0,0002
331;-0,4850817;0,7262041;-4,362764;50,26185;0,10349;0,0017
332;-0,4819616;0,7486801;-4,370798;50,37526;0,2207801;0,0037
333;-0,4787488;0,7709201;-4,378779;50,4885;0,3372002;0,0056
334;-0,4754443;0,7929242;-4,386704;50,60157;0,452749;0,0075
335;-0,4720488;0,8147422;-4,394574;50,71447;0,5676724;0,0095
336;-0,4685631;0,8364245;-4,402385;50,82721;0,6822194;0,0114
337;-0,4649872;0,8580208;-4,410136;50,93978;0,7966377;0,0133
338;-0,4613217;0,8795601;-4,417827;51,05218;0,9110697;0,0152
339;-0,4575665;0,9010707;-4,425454;51,16442;1,025658;0,0171
340;-0,4537215;0,9226027;-4,433018;51,2765;1,140652;0,019
341;-0,4497867;0,9441633;-4,440516;51,38841;1,256089;0,0209
342;-0,4457618;0,9657812;-4,447947;51,50016;1,372112;0,0229
343;-0,4416465;0,9874849;-4,455309;51,61175;1,488865;0,0248
344;-0,4374405;1,009239;-4,462601;51,72318;1,606172;0,0268
345;-0,4331432;1,031135;-4,469821;51,83445;1,724497;0,0287
346;-0,4287542;1,053168;-4,476969;51,94556;1,843807;0,0307
347;-0,4242727;1,075322;-4,484041;52,0565;1,964033;0,0327
348;-0,4196986;1,097584;-4,491037;52,16729;2,085107;0,0348
349;-0,415031;1,120002;-4,497956;52,27792;2,207279;0,0368
350;-0,4102694;1,14255;-4,504795;52,38839;2,330411;0,0388
351;-0,4054133;1,165226;-4,511553;52,4987;2,454504;0,0409
352;-0,4004622;1,188038;-4,518229;52,60884;2,579596;0,043
353;-0,3954154;1,210986;-4,524821;52,71883;2,705689;0,0451
354;-0,3902628;1,236366;-4,531326;52,82866;2,844225;0,0474
355;-0,3850663;1,246913;-4,537745;52,93836;2,90922;0,0485
356;-0,3798972;1,240327;-4,544078;53,04795;2,889018;0,0482
357;-0,3748181;1,218759;-4,550326;53,15741;2,794127;0,0466
358;-0,3698826;1,184262;-4,556492;53,26669;2,634584;0,0439
359;-0,3651311;1,140154;-4,562579;53,37576;2,426761;0,0405
360;-0,3605899;1,08966;-4,56859;53,48461;2,186604;0,0365
361;-0,3562736;1,035712;-4,574529;53,59324;1,928639;0,0322
362;-0,3521852;0,9809988;-4,5804;53,70167;1,66622;0,0278
363;-0,348285;0,9358752;-4,586206;53,80996;1,450928;0,0242
364;-0,3445521;0,8957216;-4,591949;53,91809;1,259864;0,021
365;-0,3409731;0,8587789;-4,597633;54,02608;1,084324;0,0181
366;-0,3375378;0,8243176;-4,60326;54,13391;0,9207126;0,0153
367;-0,3342375;0,7919015;-4,608832;54,2416;0,7668869;0,0128
368;-0,3310654;0,7611588;-4,614351;54,34914;0,6210182;0,0104
369;-0,3280257;0,7293721;-4,619819;54,35868;0,4695869;0,0078
370;-0,325124;0,6962767;-4,625239;54,35948;0,3112606;0,0052
371;-0,322363;0,6625019;-4,630613;54,36015;0,1491571;0,0025
372;-0,3197376;0,6299785;-4,635943;54,36053;-0,007112725;-0,0001
373;-0,31724;0,5992931;-4,641232;54,36067;-0,1546126;-0,0026
374;-0,3148636;0,5702237;-4,64648;54,3606;-0,2944246;-0,0049
375;-0,312603;0,5424345;-4,651691;54,36035;-0,4282047;-0,0071
376;-0,3104541;0,515632;-4,656866;54,35995;-0,5573983;-0,0093
377;-0,3084142;0,4894875;-4,662007;54,35946;-0,6836333;-0,0114
378;-0,3064811;0,4638579;-4,667116;54,35886;-0,8076143;-0,0135
379;-0,3046533;0,4385643;-4,672195;54,35817;-0,930227;-0,0155
380;-0,3029302;0,4134782;-4,677245;54,35742;-1,052109;-0,0175
381;-0,3013112;0,3884778;-4,682268;54,35663;-1,173865;-0,0196
382;-0,2997957;0,3636563;-4,687265;54,36496;-1,29503;-0,0216
383;-0,2983781;0,3401505;-4,692239;54,42995;-1,409939;-0,0235
384;-0,2970494;0,3188116;-4,697191;54,5181;-1,514335;-0,0252
385;-0,2958096;0,2975084;-4,702122;54,5931;-1,61881;-0,027
386;-0,2946668;0,2742171;-4,707034;54,66716;-1,733447;-0,0289
387;-0,2936178;0,2517125;-4,711929;54,74378;-1,844449;-0,0307
388;-0,2926702;0,2273558;-4,716808;54,82289;-1,964952;-0,0328
389;-0,2918286;0,2019478;-4,721673;54,90418;-2,090991;-0,0349
390;-0,291096;0,175789;-4,726525;54,98733;-2,221084;-0,037
391;-0,2904745;0,1491296;-4,731368;55,07206;-2,353992;-0,0392
392;-0,2899657;0,1221055;-4,736201;55,15811;-2,489047;-0,0415
393;-0,2895706;0,09478819;-4,741028;55,24524;-2,625898;-0,0438
394;-0,2892905;0,06722774;-4,745851;55,33325;-2,764299;-0,0461
395;-0,2891195;0,04103317;-4,75067;55,42199;-2,896238;-0,0483
396;-0,2889908;0,03086426;-4,755487;55,51135;-2,948656;-0,0492
397;-0,2888314;0,03824423;-4,760302;55,6012;-2,913763;-0,0486
398;-0,2885771;0,06103487;-4,765113;55,6914;-2,801991;-0,0467
399;-0,2881754;0,09637574;-4,769917;55,78183;-2,6274;-0,0438
400;-0,2875871;0,1411775;-4,774711;55,8724;-2,405223;-0,0401
401;-0,2867857;0,1922867;-4,779491;55,96305;-2,151053;-0,0359
402;-0,2857571;0,246814;-4,784255;56,05374;-1,879206;-0,0313
403;-0,2844976;0,3022209;-4,788998;56,14445;-1,602284;-0,0267
404;-0,2830456;0,3484244;-4,793716;56,23521;-1,370514;-0,0228
405;-0,2814205;0,3899295;-4,798407;56,32599;-1,161563;-0,0194
406;-0,2796372;0,4279092;-4,803069;56,41676;-0,9696454;-0,0162
407;-0,2777037;0,4639508;-4,807698;56,5075;-0,7868935;-0,0131
408;-0,2756264;0,4984479;-4,812293;56,59819;-0,611371;-0,0102
409;-0,2734108;0,5316362;-4,81685;56,68883;-0,4419201;-0,0074
410;-0,2710578;0,5646244;-4,821369;56,77938;-0,2730333;-0,0046
411;-0,2685722;0,596404;-4,825846;56,86985;-0,1097364;-0,0018
412;-0,26596;0,6268178;-4,830279;56,96023;0,04717293;0,0008
413;-0,263225;0,6562661;-4,834667;57,05054;0,1996738;0,0033
414;-0,2603706;0,6849135;-4,839007;57,14078;0,3485747;0,0058
415;-0,2573995;0,7129316;-4,843298;57,23095;0,4947214;0,0082
416;-0,2543133;0,740535;-4,847538;57,32104;0,6391759;0,0107
417;-0,2511135;0,7677951;-4,851724;57,41108;0,7822906;0,013
418;-0,2478009;0,7948692;-4,855855;57,50104;0,9248455;0,0154
419;-0,2443759;0,8218433;-4,859929;57,59095;1,067267;0,0178
420;-0,2408386;0,8487673;-4,863944;57,68078;1,209804;0,0202
421;-0,2371889;0,8757592;-4,867898;57,77055;1,353045;0,0226
422;-0,2334263;0,9028334;-4,871789;57,86026;1,497062;0,025
423;-0,2295504;0,9300398;-4,875615;57,94991;1,642107;0,0274
424;-0,2255602;0,957443;-4,879375;58,03949;1,788504;0,0298
425;-0,2214552;0,9850141;-4,883067;58,12901;1,936113;0,0323
426;-0,2172342;1,012828;-4,886688;58,21846;2,085311;0,0348
427;-0,2128963;1,04089;-4,890237;58,30786;2,23612;0,0373
428;-0,2084405;1,069179;-4,893712;58,39718;2,388455;0,0398
429;-0,2038658;1,097727;-4,89711;58,48645;2,542462;0,0424
430;-0,1991709;1,126539;-4,90043;58,57565;2,698181;0,045
431;-0,1943549;1,155611;-4,90367;58,66478;2,855599;0,0476
432;-0,1894227;1,183479;-4,906828;58,75386;3,007415;0,0501
433;-0,1844395;1,195747;-4,909903;58,84294;3,08189;0,0514
434;-0,1794744;1,191374;-4,912894;58,932;3,073646;0,0512
435;-0,1745931;1,17129;-4,915805;59,02103;2,987105;0,0498
436;-0,169853;1,137398;-4,918636;59,10998;2,831547;0,0472
437;-0,1652965;1,093322;-4,921392;59,19883;2,624864;0,0438
438;-0,1609516;1,04257;-4,924075;59,28754;2,384403;0,0397
439;-0,1568338;0,9880784;-4,92669;59,37614;2,124704;0,0354
440;-0,1529478;0,9324605;-4,929239;59,46463;1,858743;0,031
441;-0,1492533;0,8864895;-4,931727;59,55307;1,640181;0,0273
442;-0,1457294;0,845585;-4,934157;59,64146;1,446316;0,0241
443;-0,1423623;0,8079236;-4,93653;59,7298;1,268124;0,0211
444;-0,1391418;0,7727723;-4,938849;59,81808;1,101993;0,0184
445;-0,1360594;0,7396232;-4,941118;59,90631;0,9454234;0,0158
446;-0,1331083;0,7081225;-4,943336;59,99449;0,7966755;0,0133
447;-0,1302831;0,677909;-4,945508;60,08261;0,6539689;0,0109
448;-0,1275796;0,6487145;-4,947635;60,17067;0,5159834;0,0086
449;-0,1249945;0,6202977;-4,949719;60,25868;0,3815281;0,0064
450;-0,1225256;0,5924208;-4,951761;60,34663;0,2494267;0,0042
451;-0,1201713;0,5649301;-4,953764;60,43453;0,1189196;0,002
452;-0,1179304;0,5376915;-4,95573;60,52237;-0,01065814;-0,0002
453;-0,1158096;0,5088903;-4,957661;60,52306;-0,1483448;-0,0025
454;-0,1138195;0,4775308;-4,959558;60,51096;-0,2991229;-0,005
455;-0,1119649;0,4450272;-4,961425;60,49854;-0,4559794;-0,0076
456;-0,1102436;0,4130187;-4,963263;60,48565;-0,6107614;-0,0102
457;-0,1086517;0,3819775;-4,965074;60,47235;-0,7611119;-0,0127
458;-0,1071856;0,3518158;-4,96686;60,45871;-0,9074566;-0,0151
459;-0,1058424;0,3222888;-4,968625;60,44477;-1,051006;-0,0175
460;-0,1046207;0,293164;-4,970368;60,4306;-1,19291;-0,0199
461;-0,1035193;0,2642771;-4,972094;60,41623;-1,333985;-0,0222
462;-0,1025379;0,2354813;-4,973804;60,4017;-1,474959;-0,0246
463;-0,1016766;0,206664;-4,975499;60,38703;-1,616394;-0,0269
464;-0,1009359;0,1777484;-4,977181;60,37225;-1,758673;-0,0293
465;-0,1003162;0,1486845;-4,978854;60,3574;-1,902048;-0,0317
466;-0,09981861;0,1194042;-4,980518;60,34248;-2,04686;-0,0341
467;-0,09944391;0,08990934;-4,982176;60,32751;-2,193105;-0,0366
468;-0,09919319;0,06016064;-4,983829;60,31253;-2,340981;-0,039
469;-0,09906754;0,03015094;-4,985481;60,29753;-2,490528;-0,0415
470;-0,09906799;-0,0001090547;-4,987132;60,28254;-2,641698;-0,044
471;-0,09919567;-0,03063543;-4,988786;60,26757;-2,794574;-0,0466
472;-0,09944727;-0,06037339;-4,990444;60,25262;-2,943906;-0,0491
473;-0,09975749;-0,07443787;-4,992106;60,23777;-3,015519;-0,0503
474;-0,1000529;-0,07087304;-4,993774;60,223;-2,999471;-0,05
475;-0,1002684;-0,05171695;-4,995446;60,20829;-2,905698;-0,0484
476;-0,10035;-0,01959051;-4,997118;60,19361;-2,747061;-0,0458
477;-0,10026;0,02161428;-4,99879;60,17896;-2,542788;-0,0424
478;-0,09996943;0,06971098;-5,000456;60,16432;-2,303659;-0,0384
479;-0,09945926;0,1224166;-5,002114;60,1497;-2,040961;-0,034
480;-0,09871936;0,177541;-5,00376;60,13512;-1,765546;-0,0294
481;-0,09778587;0,223993;-5,00539;60,12063;-1,532646;-0,0255
482;-0,09667891;0,2656179;-5,007002;60,10622;-1,323207;-0,0221
483;-0,0954131;0,3037316;-5,008593;60,09188;-1,130732;-0,0188
484;-0,09400035;0,3389938;-5,010159;60,07759;-0,9519768;-0,0159
485;-0,09245025;0,3719498;-5,011701;60,06334;-0,7842596;-0,0131
486;-0,09077022;0,4031251;-5,013214;60,0491;-0,6249892;-0,0104
487;-0,08896491;0,4331885;-5,014697;60,03487;-0,4708555;-0,0078
488;-0,08703978;0,4619378;-5,016148;60,02065;-0,322878;-0,0054
489;-0,08499938;0,4895984;-5,017565;60,00642;-0,1799498;-0,003
490;-0,08284687;0,5164991;-5,018946;59,99219;-0,04044466;-0,0007
491;-0,0805847;0,5428135;-5,020289;59,97796;0,09649299;0,0016
492;-0,0782145;0,5687327;-5,021593;59,96373;0,2318096;0,0039
493;-0,07573743;0,5943785;-5,022855;59,9495;0,3661066;0,0061
494;-0,07315399;0,6199026;-5,024075;59,93528;0,5001388;0,0083
495;-0,07046437;0,6453785;-5,025249;59,92105;0,634271;0,0106
496;-0,06766838;0,6709045;-5,026377;59,90682;0,7689926;0,0128
497;-0,06476563;0,6965198;-5,027457;59,89259;0,9045017;0,0151
498;-0,06175547;0,7222943;-5,028486;59,87835;1,041147;0,0174
499;-0,05863712;0,7482546;-5,029464;59,86411;1,179066;0,0197
500;-0,0554096;0,7744492;-5,030387;59,84988;1,318502;0,022
501;-0,05207206;0,8008494;-5,031255;59,83564;1,459315;0,0243
502;-0,04862337;0,8275213;-5,032066;59,8214;1,601839;0,0267
503;-0,04506257;0,8544211;-5,032817;59,80717;1,745861;0,0291
504;-0,04138844;0,8816133;-5,033507;59,79293;1,891704;0,0315
505;-0,03759997;0,9090531;-5,034133;59,77869;2,039151;0,034
506;-0,03369614;0,9367315;-5,034695;59,76446;2,18816;0,0365
507;-0,02967582;0,9646831;-5,03519;59,75022;2,338908;0,039
508;-0,02553785;0,9929144;-5,035615;59,73598;2,491431;0,0415
509;-0,0212814;1,021344;-5,03597;59,72174;2,645328;0,0441
510;-0,01690541;1,050029;-5,036252;59,7075;2,800887;0,0467
511;-0,01241321;1,077912;-5,036459;59,69328;2,952846;0,0492
512;-0,007869282;1,090325;-5,03659;59,67911;3,028107;0,0505
513;-0,00334593;1,085387;-5,036646;59,665;3,017114;0,0503
514;0,00109353;1,065257;-5,036628;59,65091;2,930393;0,0488
515;0,005392125;1,031457;-5,036538;59,63681;2,775343;0,0463
516;0,009507623;0,9875219;-5,036379;59,62267;2,569408;0,0428
517;0,01341157;0,9367595;-5,036156;59,60847;2,328936;0,0388
518;0,01708781;0,8821226;-5,035871;59,59423;2,068553;0,0345
519;0,02053115;0,8262354;-5,035529;59,57995;1,801285;0,03
520;0,02378142;0,7799096;-5,035132;59,56569;1,580982;0,0264
521;0,02685985;0,7386743;-5,034685;59,55144;1,385489;0,0231
522;0,02978047;0,7008087;-5,034188;59,5372;1,206292;0,0201
523;0,03255413;0,6655451;-5,033646;59,52298;1,039608;0,0173
524;0,03518966;0,632401;-5,033059;59,50877;0,883064;0,0147
525;0,03769419;0,6009665;-5,032431;59,49456;0,7346433;0,0122
526;0,04007341;0,5708995;-5,031763;59,48037;0,5926622;0,0099
527;0,04233176;0,5418963;-5,031057;59,46618;0,4556233;0,0076
528;0,04447266;0,5137137;-5,030315;59,45201;0,3223268;0,0054
529;0,04649868;0,4861462;-5,02954;59,43784;0,1917585;0,0032
530;0,04841152;0,4589897;-5,028733;59,42368;0,06290884;0,001
531;0,05021251;0,4321516;-5,027896;59,40953;-0,06468063;-0,0011
532;0,05190228;0,4054635;-5,027031;59,39538;-0,1918442;-0,0032
533;0,05348113;0,378848;-5,02614;59,38124;-0,318968;-0,0053
534;0,05494904;0,3522288;-5,025224;59,3671;-0,4464312;-0,0074
535;0,05630573;0,3255408;-5,024285;59,35297;-0,5745595;-0,0096
536;0,05755071;0,2987356;-5,023326;59,33884;-0,7035949;-0,0117
537;0,05868325;0,2717535;-5,022347;59,32471;-0,8338385;-0,0139
538;0,05970269;0,2446177;-5,021352;59,31059;-0,9651775;-0,0161
539;0,06060809;0,217253;-5,020342;59,29646;-1,097989;-0,0183
540;0,0613986;0,1896828;-5,019319;59,28234;-1,232161;-0,0205
541;0,06207331;0,1618988;-5,018284;59,26822;-1,367736;-0,0228
542;0,06263131;0,1338932;-5,01724;59,2541;-1,504759;-0,0251
543;0,06307153;0,1056329;-5,016188;59,23999;-1,643398;-0,0274
544;0,06339306;0,07715172;-5,015131;59,22588;-1,783489;-0,0297
545;0,06359509;0,04847749;-5,014071;59,21177;-1,924895;-0,0321
546;0,06367691;0,01963163;-5,01301;59,19765;-2,067515;-0,0345
547;0,06363781;-0,009382279;-5,011949;59,18355;-2,211333;-0,0369
548;0,06347705;-0,03857318;-5,010891;59,16944;-2,356396;-0,0393
549;0,06319395;-0,06793035;-5,009838;59,15533;-2,502656;-0,0417
550;0,06278798;-0,09741444;-5,008791;59,14123;-2,649918;-0,0442
551;0,0622584;-0,1270746;-5,007753;59,12713;-2,79843;-0,0466
552;0,0616094;-0,1557274;-5,006726;59,11303;-2,942298;-0,049
553;0,06090624;-0,1687246;-5,005711;59,09899;-3,008527;-0,0502
554;0,06021928;-0,1648389;-5,004707;59,085;-2,990803;-0,0499
555;0,0596159;-0,1447826;-5,003713;59,07101;-2,892467;-0,0482
556;0,05915315;-0,1110373;-5,002727;59,05701;-2,725678;-0,0454
557;0,05887299;-0,06722507;-5,001746;59,04295;-2,50831;-0,0418
558;0,05880361;-0,01664783;-5,000765;59,02885;-2,256689;-0,0376
559;0,0589607;0,03769448;-4,999783;59,01471;-1,985674;-0,0331
560;0,05934864;0,09308622;-4,998793;59,00053;-1,708748;-0,0285
561;0,05992787;0,1389875;-4,997794;58,98639;-1,478412;-0,0246
562;0,0606772;0,1798053;-4,996783;58,97228;-1,272824;-0,0212
563;0,06158261;0,217253;-4,995756;58,9582;-1,08351;-0,0181
564;0,0626332;0,2520924;-4,994712;58,94415;-0,9067157;-0,0151
565;0,06382014;0,284808;-4,993648;58,9301;-0,7400587;-0,0123
566;0,06513624;0,3158009;-4,992562;58,91607;-0,581565;-0,0097
567;0,06657568;0,3453959;-4,991453;58,90205;-0,4296384;-0,0072
568;0,06813395;0,373911;-4,990317;58,88804;-0,2827095;-0,0047
569;0,06980755;0,4015841;-4,989153;58,87403;-0,1396067;-0,0023
570;0,07159385;0,4286261;-4,98796;58,86004;0,0007118541;0
571;0,07349085;0,4551889;-4,986735;58,84604;0,1389959;0,0023
572;0,07549728;0,4814478;-4,985476;58,83205;0,2761136;0,0046
573;0,07761231;0,5075048;-4,984183;58,81806;0,4125696;0,0069
574;0,07983553;0,5334669;-4,982852;58,80407;0,5488967;0,0092
575;0,08216683;0,5593987;-4,981482;58,79008;0,6854154;0,0114
576;0,0846064;0,5853806;-4,980072;58,77608;0,8225268;0,0137
577;0,08715463;0,6114517;-4,978619;58,76209;0,9604282;0,016
578;0,08981203;0,6376482;-4,977121;58,7481;1,0993;0,0183
579;0,09257932;0,6640179;-4,975578;58,73412;1,239385;0,0207
580;0,09545724;0,6905629;-4,973987;58,72012;1,380695;0,023
581;0,09844658;0,7172974;-4,972345;58,70613;1,523305;0,0254
